source,target,weight
"(121.471,31.291999999999998)","(121.485,31.302)",0.01720465053408274
"(121.334,31.261999999999997)","(121.333,31.258000000000003)",0.004123105625613221
"(121.458,31.265)","(121.459,31.254)",0.011045361017186929
"(121.484,31.239)","(121.493,31.23)",0.012727922061358338
"(121.52,31.274)","(121.516,31.28)",0.007211102550922997
"(121.553,31.28)","(121.556,31.285999999999998)",0.006708203932496446
"(121.42200000000001,31.201)","(121.42,31.198)",0.003605551275469381
"(121.459,31.333000000000002)","(121.45299999999999,31.334)",0.006082762530312078
"(121.473,31.273000000000003)","(121.444,31.258000000000003)",0.03264965543462604
"(121.391,31.243000000000002)","(121.397,31.247)",0.007211102550926938
"(121.514,31.298000000000002)","(121.521,31.291)",0.009899494936616227
"(121.53200000000001,31.304000000000002)","(121.52799999999999,31.309)",0.006403124237444003
"(121.507,31.302)","(121.53,31.308000000000003)",0.02376972864800664
"(121.456,31.271)","(121.46799999999999,31.27)",0.012041594578778689
"(121.38,31.24)","(121.37799999999999,31.233)",0.00728010988928112
"(121.522,31.26)","(121.53,31.261)",0.00806225774829386
"(121.441,31.193)","(121.435,31.197)",0.007211102550926938
"(121.538,31.245)","(121.545,31.285)",0.040607881008493926
"(121.447,31.197)","(121.415,31.2)",0.0321403173599729
"(121.529,31.296)","(121.531,31.309)",0.013152946437969016
"(121.544,31.274)","(121.539,31.285999999999998)",0.012999999999995392
"(121.46700000000001,31.303)","(121.479,31.307)",0.012649110640659766
"(121.40299999999999,31.13)","(121.42,31.121)",0.019235384061680447
"(121.501,31.294)","(121.49700000000001,31.3)",0.007211102550922997
"(121.443,31.261999999999997)","(121.42200000000001,31.266)",0.02137755832641902
"(121.535,31.285)","(121.514,31.276999999999997)",0.022472205054245926
"(121.587,31.265)","(121.59,31.26)",0.005830951894844506
"(121.49600000000001,31.21)","(121.48200000000001,31.203000000000003)",0.015652475842493824
"(121.531,31.324)","(121.53200000000001,31.316999999999997)",0.007071067811871103
"(121.385,31.21)","(121.367,31.214000000000002)",0.018439088914586732
"(121.48100000000001,31.197)","(121.485,31.201999999999998)",0.006403124237426248
"(121.536,31.276)","(121.51799999999999,31.294)",0.025455844122726723
"(121.413,31.302)","(121.43299999999999,31.285999999999998)",0.025612496949729408
"(121.367,31.238000000000003)","(121.37100000000001,31.248)",0.010770329614268976
"(121.42299999999999,31.171999999999997)","(121.434,31.168000000000003)",0.011704699910726948
"(121.39399999999999,31.087)","(121.39200000000001,31.090999999999998)",0.004472135954989157
"(121.48100000000001,31.338)","(121.475,31.323)",0.0161554944214094
"(121.51299999999999,31.303)","(121.506,31.302)",0.007071067811856532
"(121.55,31.271)","(121.544,31.273000000000003)",0.006324555320337748
