label,lng,lat
"(121.46799999999999,31.326999999999998)",121.46799999999999,31.326999999999998
"(121.461,31.33)",121.461,31.33
"(121.459,31.255)",121.459,31.255
"(121.535,31.243000000000002)",121.535,31.243000000000002
"(121.46,31.274)",121.46,31.274
"(121.455,31.308000000000003)",121.455,31.308000000000003
"(121.454,31.22)",121.454,31.22
"(121.53399999999999,31.269000000000002)",121.53399999999999,31.269000000000002
"(121.53,31.328000000000003)",121.53,31.328000000000003
"(121.47399999999999,31.331)",121.47399999999999,31.331
"(121.376,31.271)",121.376,31.271
"(121.48700000000001,31.253)",121.48700000000001,31.253
"(121.32799999999999,31.269000000000002)",121.32799999999999,31.269000000000002
"(121.555,31.285999999999998)",121.555,31.285999999999998
"(121.397,31.256)",121.397,31.256
"(121.45100000000001,31.313000000000002)",121.45100000000001,31.313000000000002
"(121.51,31.25)",121.51,31.25
"(121.45700000000001,31.337)",121.45700000000001,31.337
"(121.454,31.223000000000003)",121.454,31.223000000000003
"(121.444,31.214000000000002)",121.444,31.214000000000002
"(121.536,31.285)",121.536,31.285
"(121.446,31.225)",121.446,31.225
"(121.335,31.268)",121.335,31.268
"(121.428,31.303)",121.428,31.303
"(121.48100000000001,31.221)",121.48100000000001,31.221
"(121.48100000000001,31.201)",121.48100000000001,31.201
"(121.42200000000001,31.274)",121.42200000000001,31.274
"(121.42399999999999,31.183000000000003)",121.42399999999999,31.183000000000003
"(121.49,31.184)",121.49,31.184
"(121.441,31.253)",121.441,31.253
"(121.435,31.136)",121.435,31.136
"(121.54,31.318)",121.54,31.318
"(121.46,31.305999999999997)",121.46,31.305999999999997
"(121.303,31.287)",121.303,31.287
"(121.505,31.303)",121.505,31.303
"(121.525,31.186999999999998)",121.525,31.186999999999998
"(121.448,31.307)",121.448,31.307
"(121.319,31.241)",121.319,31.241
"(121.486,31.342)",121.486,31.342
"(121.48299999999999,31.32)",121.48299999999999,31.32
"(121.48299999999999,31.206)",121.48299999999999,31.206
"(121.535,31.261999999999997)",121.535,31.261999999999997
"(121.421,31.24)",121.421,31.24
"(121.454,31.153000000000002)",121.454,31.153000000000002
"(121.50299999999999,31.308000000000003)",121.50299999999999,31.308000000000003
"(121.384,31.275)",121.384,31.275
"(121.53200000000001,31.323)",121.53200000000001,31.323
"(121.51700000000001,31.294)",121.51700000000001,31.294
"(121.43,31.212)",121.43,31.212
"(121.44,31.258000000000003)",121.44,31.258000000000003
"(121.35,31.195)",121.35,31.195
"(121.37799999999999,31.271)",121.37799999999999,31.271
"(121.45299999999999,31.279)",121.45299999999999,31.279
"(121.48299999999999,31.32)",121.48299999999999,31.32
"(121.434,31.166999999999998)",121.434,31.166999999999998
"(121.415,31.13)",121.415,31.13
"(121.53,31.302)",121.53,31.302
"(121.506,31.304000000000002)",121.506,31.304000000000002
"(121.48700000000001,31.25)",121.48700000000001,31.25
"(121.515,31.269000000000002)",121.515,31.269000000000002
"(121.47,31.279)",121.47,31.279
"(121.506,31.268)",121.506,31.268
"(121.586,31.261999999999997)",121.586,31.261999999999997
"(121.463,31.180999999999997)",121.463,31.180999999999997
"(121.37899999999999,31.193)",121.37899999999999,31.193
"(121.40899999999999,31.230999999999998)",121.40899999999999,31.230999999999998
"(121.37200000000001,31.344)",121.37200000000001,31.344
"(121.476,31.233)",121.476,31.233
"(121.309,31.208000000000002)",121.309,31.208000000000002
"(121.536,31.320999999999998)",121.536,31.320999999999998
"(121.43799999999999,31.34)",121.43799999999999,31.34
"(121.44200000000001,31.308000000000003)",121.44200000000001,31.308000000000003
"(121.51299999999999,31.197)",121.51299999999999,31.197
"(121.36200000000001,31.252)",121.36200000000001,31.252
"(121.50200000000001,31.285999999999998)",121.50200000000001,31.285999999999998
"(121.47,31.18)",121.47,31.18
"(121.44,31.311999999999998)",121.44,31.311999999999998
"(121.428,31.279)",121.428,31.279
"(121.494,31.336)",121.494,31.336
"(121.46799999999999,31.324)",121.46799999999999,31.324
"(121.428,31.13)",121.428,31.13
"(121.354,31.22)",121.354,31.22
"(121.46700000000001,31.195)",121.46700000000001,31.195
"(121.447,31.160999999999998)",121.447,31.160999999999998
"(121.47,31.25)",121.47,31.25
"(121.456,31.34)",121.456,31.34
"(121.51700000000001,31.301)",121.51700000000001,31.301
"(121.542,31.267)",121.542,31.267
"(121.431,31.246)",121.431,31.246
"(121.50299999999999,31.340999999999998)",121.50299999999999,31.340999999999998
"(121.45700000000001,31.24)",121.45700000000001,31.24
"(121.32,31.283)",121.32,31.283
"(121.416,31.217)",121.416,31.217
"(121.432,31.265)",121.432,31.265
"(121.455,31.151)",121.455,31.151
"(121.459,31.259)",121.459,31.259
"(121.485,31.319000000000003)",121.485,31.319000000000003
"(121.448,31.308000000000003)",121.448,31.308000000000003
"(121.368,31.252)",121.368,31.252
"(121.478,31.21)",121.478,31.21
"(121.529,31.285999999999998)",121.529,31.285999999999998
"(121.40799999999999,31.215999999999998)",121.40799999999999,31.215999999999998
"(121.478,31.209)",121.478,31.209
"(121.48299999999999,31.32)",121.48299999999999,31.32
"(121.38600000000001,31.136999999999997)",121.38600000000001,31.136999999999997
"(121.463,31.180999999999997)",121.463,31.180999999999997
"(121.539,31.314)",121.539,31.314
"(121.384,31.206999999999997)",121.384,31.206999999999997
"(121.493,31.221)",121.493,31.221
"(121.38600000000001,31.32)",121.38600000000001,31.32
"(121.53200000000001,31.323)",121.53200000000001,31.323
"(121.446,31.241999999999997)",121.446,31.241999999999997
"(121.404,31.127)",121.404,31.127
"(121.436,31.168000000000003)",121.436,31.168000000000003
"(121.499,31.308000000000003)",121.499,31.308000000000003
"(121.396,31.258000000000003)",121.396,31.258000000000003
"(121.43299999999999,31.32)",121.43299999999999,31.32
"(121.387,31.269000000000002)",121.387,31.269000000000002
"(121.445,31.212)",121.445,31.212
"(121.428,31.218000000000004)",121.428,31.218000000000004
"(121.539,31.142)",121.539,31.142
"(121.521,31.291)",121.521,31.291
"(121.441,31.261)",121.441,31.261
"(121.48700000000001,31.269000000000002)",121.48700000000001,31.269000000000002
"(121.536,31.194000000000003)",121.536,31.194000000000003
"(121.53200000000001,31.179000000000002)",121.53200000000001,31.179000000000002
"(121.444,31.34)",121.444,31.34
"(121.34100000000001,31.253)",121.34100000000001,31.253
"(121.406,31.241999999999997)",121.406,31.241999999999997
"(121.43700000000001,31.34)",121.43700000000001,31.34
"(121.381,31.136999999999997)",121.381,31.136999999999997
"(121.351,31.285999999999998)",121.351,31.285999999999998
"(121.36200000000001,31.355999999999998)",121.36200000000001,31.355999999999998
"(121.41,31.305999999999997)",121.41,31.305999999999997
"(121.525,31.281)",121.525,31.281
"(121.315,31.195)",121.315,31.195
"(121.45,31.194000000000003)",121.45,31.194000000000003
"(121.47,31.203000000000003)",121.47,31.203000000000003
"(121.45100000000001,31.18)",121.45100000000001,31.18
"(121.615,31.268)",121.615,31.268
"(121.464,31.206999999999997)",121.464,31.206999999999997
"(121.43700000000001,31.269000000000002)",121.43700000000001,31.269000000000002
"(121.417,31.217)",121.417,31.217
"(121.485,31.334)",121.485,31.334
"(121.493,31.291999999999998)",121.493,31.291999999999998
"(121.471,31.296999999999997)",121.471,31.296999999999997
"(121.428,31.199)",121.428,31.199
"(121.45299999999999,31.335)",121.45299999999999,31.335
"(121.37700000000001,31.261)",121.37700000000001,31.261
"(121.50299999999999,31.26)",121.50299999999999,31.26
"(121.523,31.293000000000003)",121.523,31.293000000000003
"(121.51700000000001,31.278000000000002)",121.51700000000001,31.278000000000002
"(121.539,31.299)",121.539,31.299
"(121.475,31.233)",121.475,31.233
"(121.475,31.201999999999998)",121.475,31.201999999999998
"(121.58200000000001,31.275)",121.58200000000001,31.275
"(121.443,31.259)",121.443,31.259
"(121.51799999999999,31.316999999999997)",121.51799999999999,31.316999999999997
"(121.35799999999999,31.166999999999998)",121.35799999999999,31.166999999999998
"(121.531,31.226999999999997)",121.531,31.226999999999997
"(121.41799999999999,31.271)",121.41799999999999,31.271
"(121.535,31.287)",121.535,31.287
"(121.311,31.238000000000003)",121.311,31.238000000000003
"(121.369,31.243000000000002)",121.369,31.243000000000002
"(121.448,31.288)",121.448,31.288
"(121.402,31.147)",121.402,31.147
"(121.484,31.305999999999997)",121.484,31.305999999999997
"(121.49799999999999,31.218000000000004)",121.49799999999999,31.218000000000004
"(121.382,31.253)",121.382,31.253
"(121.359,31.22)",121.359,31.22
"(121.521,31.208000000000002)",121.521,31.208000000000002
"(121.461,31.201999999999998)",121.461,31.201999999999998
"(121.449,31.293000000000003)",121.449,31.293000000000003
"(121.37100000000001,31.31)",121.37100000000001,31.31
"(121.49600000000001,31.276)",121.49600000000001,31.276
"(121.366,31.213)",121.366,31.213
"(121.523,31.322)",121.523,31.322
"(121.428,31.381999999999998)",121.428,31.381999999999998
"(121.52799999999999,31.318)",121.52799999999999,31.318
"(121.508,31.296999999999997)",121.508,31.296999999999997
"(121.492,31.253)",121.492,31.253
"(121.365,31.258000000000003)",121.365,31.258000000000003
"(121.39200000000001,31.269000000000002)",121.39200000000001,31.269000000000002
"(121.48,31.269000000000002)",121.48,31.269000000000002
"(121.41,31.234)",121.41,31.234
"(121.48899999999999,31.201)",121.48899999999999,31.201
"(121.322,31.296)",121.322,31.296
"(121.305,31.201999999999998)",121.305,31.201999999999998
"(121.40899999999999,31.217)",121.40899999999999,31.217
"(121.318,31.308000000000003)",121.318,31.308000000000003
"(121.42399999999999,31.328000000000003)",121.42399999999999,31.328000000000003
"(121.427,31.135)",121.427,31.135
"(121.366,31.237)",121.366,31.237
"(121.625,31.287)",121.625,31.287
"(121.51799999999999,31.275)",121.51799999999999,31.275
"(121.47200000000001,31.198)",121.47200000000001,31.198
"(121.44,31.304000000000002)",121.44,31.304000000000002
"(121.52799999999999,31.301)",121.52799999999999,31.301
"(121.521,31.29)",121.521,31.29
"(121.41,31.271)",121.41,31.271
"(121.476,31.19)",121.476,31.19
"(121.45200000000001,31.186)",121.45200000000001,31.186
"(121.41,31.268)",121.41,31.268
"(121.36200000000001,31.179000000000002)",121.36200000000001,31.179000000000002
"(121.538,31.29)",121.538,31.29
"(121.419,31.174)",121.419,31.174
"(121.46799999999999,31.234)",121.46799999999999,31.234
"(121.48200000000001,31.244)",121.48200000000001,31.244
"(121.463,31.274)",121.463,31.274
"(121.508,31.311999999999998)",121.508,31.311999999999998
"(121.49600000000001,31.283)",121.49600000000001,31.283
"(121.455,31.224)",121.455,31.224
"(121.37200000000001,31.13)",121.37200000000001,31.13
"(121.531,31.252)",121.531,31.252
"(121.432,31.186)",121.432,31.186
"(121.436,31.32)",121.436,31.32
"(121.45100000000001,31.293000000000003)",121.45100000000001,31.293000000000003
"(121.417,31.218000000000004)",121.417,31.218000000000004
"(121.42200000000001,31.217)",121.42200000000001,31.217
"(121.39200000000001,31.199)",121.39200000000001,31.199
"(121.50399999999999,31.289)",121.50399999999999,31.289
"(121.469,31.279)",121.469,31.279
"(121.536,31.318)",121.536,31.318
"(121.49799999999999,31.215999999999998)",121.49799999999999,31.215999999999998
"(121.522,31.291999999999998)",121.522,31.291999999999998
"(121.53200000000001,31.318)",121.53200000000001,31.318
"(121.524,31.281)",121.524,31.281
"(121.42399999999999,31.24)",121.42399999999999,31.24
"(121.36200000000001,31.146)",121.36200000000001,31.146
"(121.395,31.247)",121.395,31.247
"(121.464,31.203000000000003)",121.464,31.203000000000003
"(121.382,31.250999999999998)",121.382,31.250999999999998
"(121.478,31.234)",121.478,31.234
"(121.431,31.151999999999997)",121.431,31.151999999999997
"(121.47,31.241999999999997)",121.47,31.241999999999997
"(121.427,31.113000000000003)",121.427,31.113000000000003
"(121.414,31.27)",121.414,31.27
"(121.486,31.308000000000003)",121.486,31.308000000000003
"(121.561,31.29)",121.561,31.29
"(121.404,31.164)",121.404,31.164
"(121.447,31.325)",121.447,31.325
"(121.37,31.208000000000002)",121.37,31.208000000000002
"(121.381,31.244)",121.381,31.244
"(121.45200000000001,31.308000000000003)",121.45200000000001,31.308000000000003
"(121.449,31.305)",121.449,31.305
"(121.535,31.3)",121.535,31.3
"(121.53200000000001,31.298000000000002)",121.53200000000001,31.298000000000002
"(121.37,31.168000000000003)",121.37,31.168000000000003
"(121.44,31.256)",121.44,31.256
"(121.40899999999999,31.279)",121.40899999999999,31.279
"(121.602,31.203000000000003)",121.602,31.203000000000003
"(121.476,31.206)",121.476,31.206
"(121.45,31.193)",121.45,31.193
"(121.444,31.236)",121.444,31.236
"(121.444,31.201)",121.444,31.201
"(121.449,31.23)",121.449,31.23
"(121.368,31.209)",121.368,31.209
"(121.354,31.288)",121.354,31.288
"(121.43700000000001,31.279)",121.43700000000001,31.279
"(121.436,31.258000000000003)",121.436,31.258000000000003
